dataset,model,method,config,target,faithfulness_comprehensiveness_mean,faithfulness_comprehensiveness_std,faithfulness_sufficiency_mean,faithfulness_sufficiency_std,faithfulness_aopc_mean,faithfulness_aopc_std,faithfulness_aupc_mean,faithfulness_aupc_std,faithfulness_aopc_comprehensiveness_mean,faithfulness_aopc_comprehensiveness_std,faithfulness_aopc_sufficiency_mean,faithfulness_aopc_sufficiency_std,attribution_model_forward_calls,attribution_model_forward_calls_per_sample,budget,order,seed,value_function,chunker,eval_granularity,basis,hierarchy,sampler,projector,sample_count,failed_count
rotten_tomatoes,Qwen3-8B,inseq_input_x_gradient,b32-o1-s42-a06737c7,predicted,0.2055288051966497,0.2872140468655995,0.30756702014063336,0.3034929464104638,0.27587067161487744,0.20700062862804908,0.5468339482792713,0.16461446867933396,0.11747067324546068,0.12270379032350169,0.17300582120060123,0.13202944150798465,2132.0,2.0,32,1,42,,token,word,,,,,1066,0
rotten_tomatoes,Qwen3-8B,inseq_integrated_gradients,b32-o1-s42-1e3af996,predicted,0.13020389036838675,0.23952020012529546,0.33380899575212064,0.30343306179469043,0.25820097953210186,0.193767814858041,0.5658524396881867,0.1652902034287625,0.08261237168172739,0.09815416330734889,0.1885023741662776,0.1425797225470041,5330.0,5.0,32,1,42,,token,word,,,,,1066,0
rotten_tomatoes,Qwen3-8B,inseq_lime,b32-o1-s42-a7a4d77f,predicted,0.14763913064584847,0.2519666812045012,0.3370291246477863,0.30970958727503184,0.25134750252683996,0.1948767564784367,0.5724175466232713,0.16785313923302425,0.08420184517994309,0.1025604756110852,0.19302202515721198,0.14662637417082036,35178.0,33.0,32,1,42,,token,word,,,,,1066,0
rotten_tomatoes,Qwen3-8B,inseq_occlusion,b32-o1-s42-07652aab,predicted,0.19796476802956356,0.29162281050743427,0.310306079575181,0.30056196512876904,0.27700677965695136,0.22260128371175023,0.5454477738578843,0.1828146046724788,0.1147102436794583,0.13846333913710046,0.17823101967537186,0.13652416986220747,32798.0,30.76735459662289,32,1,42,,token,word,,,,,1066,0
rotten_tomatoes,Qwen3-8B,inseq_saliency,b32-o1-s42-bcdd8f49,predicted,0.20308233839454284,0.2856445777161418,0.2956148875207044,0.30655747207531264,0.2757095910899611,0.20612453817597262,0.5470828982163751,0.16389392125976554,0.11576958378310673,0.12163435780419182,0.16825908762822012,0.1341002063287867,2132.0,2.0,32,1,42,,token,word,,,,,1066,0
rotten_tomatoes,Qwen3-8B,inseq_sequential_integrated_gradients,b32-o1-s42-e2111794,predicted,0.2320460558088051,0.2924212086147931,0.2830024998575195,0.29763970923027255,0.2944175977927377,0.2138498111585828,0.5274215999852034,0.1699866616475281,0.13007329020587902,0.12809523649022486,0.16418104860930716,0.13016773470210827,123730.0,116.06941838649156,32,1,42,,token,word,,,,,1066,0
sst2,Qwen3-8B,inseq_input_x_gradient,b32-o1-s42-6de34fcb,predicted,0.1613954961846021,0.19929332647850073,0.26465785219014826,0.23566640784867054,0.23742373783376314,0.1615751284140939,0.5744305144278227,0.12454352573438848,0.09011632666098245,0.083320718005015,0.14079302446769512,0.11756101836195192,1744.0,2.0,32,1,42,,token,word,,,,,872,0
sst2,Qwen3-8B,inseq_integrated_gradients,b32-o1-s42-c220a3ae,predicted,0.10186798742567658,0.17581108014884989,0.28450323726706855,0.2262329013820605,0.20277803262248886,0.15138656642793583,0.6113388754025786,0.13442473990519907,0.06529634401974228,0.07240593239879518,0.15633574714485968,0.12033474625310486,4360.0,5.0,32,1,42,,token,word,,,,,872,0
sst2,Qwen3-8B,inseq_lime,b32-o1-s42-131fd2ee,predicted,0.11512037486113093,0.17659571136361193,0.2914329389435477,0.22792018878765202,0.20926389123815559,0.1540111762532751,0.6041501664383957,0.1335470223233799,0.0680388899483469,0.07305058285113225,0.1587809187597058,0.12675793136128571,28776.0,33.0,32,1,42,,token,word,,,,,872,0
sst2,Qwen3-8B,inseq_occlusion,b32-o1-s42-175ed643,predicted,0.1889346631299282,0.21540938360640477,0.27038593756101215,0.23045691130260967,0.23857790140331192,0.1754039586927062,0.5733029403628555,0.148312301005273,0.10382488936491535,0.09895511100158888,0.1440695840272366,0.11971484203893053,25948.0,29.756880733944953,32,1,42,,token,word,,,,,872,0
sst2,Qwen3-8B,inseq_saliency,b32-o1-s42-d5090ba4,predicted,0.16369557810392596,0.19877010032336975,0.26303437178501776,0.23749584436507834,0.23661459836510748,0.16208238423404756,0.5752534776423496,0.12525750151723727,0.08934477735717826,0.08184011162716266,0.1417208725922071,0.11984970321203306,1744.0,2.0,32,1,42,,token,word,,,,,872,0
sst2,Qwen3-8B,inseq_sequential_integrated_gradients,b32-o1-s42-664cad71,predicted,0.1763001681606486,0.20007492610423305,0.27204018847412,0.22872345228610722,0.24051251519493777,0.16788549013397736,0.57120308904992,0.13269803801736077,0.09659696397682407,0.08838415447679727,0.1433898850704964,0.11623870669927364,97688.0,112.02752293577981,32,1,42,,token,word,,,,,872,0
