dataset,model,method,config,target,faithfulness_comprehensiveness_mean,faithfulness_comprehensiveness_std,faithfulness_sufficiency_mean,faithfulness_sufficiency_std,faithfulness_aopc_mean,faithfulness_aopc_std,faithfulness_aupc_mean,faithfulness_aupc_std,faithfulness_aopc_comprehensiveness_mean,faithfulness_aopc_comprehensiveness_std,faithfulness_aopc_sufficiency_mean,faithfulness_aopc_sufficiency_std,attribution_model_forward_calls,attribution_model_forward_calls_per_sample,budget,order,seed,value_function,chunker,eval_granularity,basis,hierarchy,sampler,projector,sample_count,failed_count
emotion,Qwen3-8B,sparse_mobius,b512-o1-s42-e2-a-additive,predicted,0.3628847268561958,0.22011061428777004,0.060479823165961934,0.25994426463041653,0.39240270351775974,0.18143784377951164,0.17079981848197728,0.09920371260776051,0.18393989677940567,0.10464382784792049,0.028589982977247373,0.11220743106437056,228942.0,114.471,512,1,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,2000,0
emotion,Qwen3-8B,sparse_mobius,b512-o2-s42-e2-b-fit-only,predicted,0.3552973027368569,0.22142742353362302,0.17645702451868442,0.26514546373024206,0.35337711640517205,0.18384866785342338,0.21206120474260753,0.12182525865258685,0.17955018555368962,0.10729792896425643,0.07910737558425215,0.11436517738757768,91536.0,45.768,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,2000,0
emotion,Qwen3-8B,sparse_mobius,b512-o2-s42-e4-strict,predicted,0.3382172272161203,0.23542847847704276,0.10583274512314367,0.26030873691216866,0.36481093358530564,0.19005750543817718,0.19957742049862162,0.1272947197154956,0.17128011484666011,0.11146871814228855,0.05058200263904381,0.11401508575926217,0.0,0.0,512,2,42,target_probability,word,word,deletion_mobius,strict,uniform_size,signed_equal_share,2000,0
emotion,Qwen3-8B,sparse_mobius,b512-o2-s42-std,predicted,0.3574992654129351,0.22135818625206785,0.05623333714774586,0.260895484474329,0.3931680737461829,0.18171081787472024,0.17000952506391379,0.09946977784763705,0.18292126958859517,0.10521065489343666,0.027186177198504444,0.11322365779560145,91536.0,45.768,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,signed_equal_share,2000,0
rotten_tomatoes,Qwen3-8B,sparse_mobius,b512-o1-s42-e2-a-additive,predicted,0.42924643296628834,0.26337099958611965,0.04176540351250446,0.23895311940064778,0.47364541879504046,0.1873147821562085,0.3394570408407682,0.13855251669407506,0.23359741836102163,0.12197257803526278,0.05930385322813874,0.10936531522082801,0.0,0.0,512,1,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,1066,0
rotten_tomatoes,Qwen3-8B,sparse_mobius,b512-o2-s42-e2-b-fit-only,predicted,0.41899648983412874,0.2718084376438991,0.18627588058190428,0.3036010998844893,0.41117733566668263,0.2053327764200998,0.4037169409978369,0.17927914732533703,0.22191270163865184,0.13626876681627936,0.12055646930175982,0.12594310759560318,61054.0,57.27392120075047,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,1066,0
rotten_tomatoes,Qwen3-8B,sparse_mobius,b512-o2-s42-e4-strict,predicted,0.38349653774774883,0.29085443763538943,0.13167966323885621,0.2833003262205012,0.4116201414176656,0.21126559984488097,0.40401496070408344,0.18848229745160233,0.20669844786467695,0.13828933475137736,0.09895331725186501,0.13084891168714755,0.0,0.0,512,2,42,target_probability,word,word,deletion_mobius,strict,uniform_size,signed_equal_share,1066,0
rotten_tomatoes,Qwen3-8B,sparse_mobius,b512-o2-s42-std,predicted,0.42151021895127383,0.2658098981047842,0.03251030051090038,0.23371523000345823,0.47467755453823485,0.1874293331770135,0.3384132966583885,0.13895367401741499,0.23152581915628803,0.12350137002170393,0.05478063439664321,0.10785998478996116,61054.0,57.27392120075047,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,signed_equal_share,1066,0
sst2,Qwen3-8B,sparse_mobius,b512-o1-s42-e2-a-additive,predicted,0.358832247581985,0.22113547604871892,0.11310111637844826,0.21358153006237923,0.37720894648773023,0.17044301881376306,0.42668597080776566,0.13743720107899637,0.18554120153458215,0.10401272684965153,0.06629292356261611,0.10463875490936382,0.0,0.0,512,1,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,872,0
sst2,Qwen3-8B,sparse_mobius,b512-o2-s42-e2-b-fit-only,predicted,0.35768341538576853,0.20938147225884668,0.18571893084497573,0.22978557594382445,0.32714871017704716,0.16552921251815408,0.4797473372281425,0.14260402699951008,0.17879347593324618,0.10199871326395951,0.0980552135173562,0.10810450257365753,50242.0,57.61697247706422,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,singleton_only,872,0
sst2,Qwen3-8B,sparse_mobius,b512-o2-s42-e4-strict,predicted,0.35496050590817296,0.22126937844886774,0.13459405135915117,0.21329685270111315,0.36026327682511333,0.17155915067333363,0.4443748745240211,0.14072410365183569,0.17937425525971726,0.10377042613775722,0.0743231755235113,0.10422593514207859,0.0,0.0,512,2,42,target_probability,word,word,deletion_mobius,strict,uniform_size,signed_equal_share,872,0
sst2,Qwen3-8B,sparse_mobius,b512-o2-s42-std,predicted,0.3603868462833462,0.21789627814569543,0.11623866033744855,0.21063092940879483,0.3817035015892317,0.16904027670210245,0.4222542970259334,0.13770937367798206,0.18650565921153,0.10276293736613756,0.06577886530459047,0.10433678655253593,50242.0,57.61697247706422,512,2,42,target_probability,word,word,deletion_mobius,none,uniform_size,signed_equal_share,872,0
